AAA,BBB,CCC,DDD,EEE
8.71,12.85,10.44,11.74,20.70
8.90,12.85,10.48,11.80,20.93
8.75,12.93,10.28,11.65,21.05
8.77,12.69,10.29,11.66,20.78
8.80,12.52,10.29,11.66,20.75
8.88,12.61,10.34,11.69,21.04
8.98,12.49,10.30,11.63,20.80
9.18,12.44,10.16,11.71,20.65
9.30,12.38,10.10,11.60,20.68
9.31,12.45,9.93,11.72,20.68
9.33,12.66,10.06,11.85,20.58
9.32,12.74,10.02,11.67,20.64
9.28,12.71,10.08,11.73,20.62
9.27,12.70,10.37,11.81,20.80
9.18,12.65,10.44,11.91,20.86
9.19,12.53,10.55,11.83,20.79
9.20,12.53,10.42,11.82,20.80
9.41,12.40,10.35,11.70,20.72
9.33,12.23,10.27,11.46,20.70
9.23,12.25,10.39,11.42,20.53
9.27,12.25,10.49,11.39,20.70
9.17,11.99,10.53,11.47,20.88
9.21,11.98,10.45,11.40,21.02
9.22,11.82,10.42,11.27,21.02
9.24,11.82,10.46,11.35,20.48
9.16,11.67,10.30,11.42,20.45
9.17,11.73,10.30,11.32,20.52
9.15,11.97,10.24,11.15,20.53
9.13,11.93,10.13,11.28,20.85
9.16,11.92,9.97,11.23,20.45
9.16,11.80,9.88,11.26,20.51
9.16,11.92,9.80,11.38,20.50
9.20,12.19,9.81,11.55,20.78
9.28,12.27,9.83,11.58,21.02
9.34,12.34,9.70,11.56,20.78
9.32,12.32,9.84,11.49,20.47
9.24,12.25,9.87,11.23,20.77
9.42,12.25,9.95,11.21,20.84
9.33,12.15,9.88,11.12,21.13
9.41,12.18,9.88,11.17,21.25
9.40,12.46,9.82,11.22,21.28
9.48,12.39,9.80,11.08,20.93
9.44,12.31,9.92,11.25,20.90
9.31,12.33,9.81,11.25,20.91
9.39,12.29,9.82,11.24,20.98
9.39,12.11,9.77,11.31,20.85
9.46,12.19,9.91,11.34,20.75
9.41,12.21,9.89,11.38,20.91
9.38,12.11,9.82,11.19,20.85
9.48,12.22,9.93,11.25,20.90
9.86,12.42,9.94,11.16,20.76
9.93,12.62,9.90,11.11,20.78
9.89,12.63,9.91,11.09,20.82
9.97,12.80,9.83,11.08,20.94
9.84,12.71,9.68,10.91,20.79
9.80,12.66,9.56,11.02,21.07
9.98,12.60,9.43,10.94,21.12
9.72,12.54,9.25,10.98,20.81
9.66,12.68,9.40,10.91,20.77
9.62,12.68,9.52,11.03,20.74
9.66,12.67,9.44,10.97,20.71
9.57,12.82,9.31,10.78,20.58
9.75,12.86,9.31,10.63,20.24
9.68,12.78,9.36,10.65,19.97
9.59,12.69,9.51,10.67,20.07
9.72,12.58,9.49,10.55,20.25
9.53,12.62,9.50,10.58,20.11
9.45,12.72,9.60,10.52,20.15
9.39,12.89,9.55,10.48,20.24
9.39,12.83,9.44,10.50,20.01
9.40,12.78,9.30,10.52,20.09
9.30,12.76,9.26,10.61,20.29
9.39,12.92,9.27,10.67,20.59
9.36,12.93,9.16,10.75,20.41
9.27,12.68,9.22,10.85,20.59
9.14,12.71,9.22,10.83,20.38
9.15,12.81,9.35,10.77,20.24
9.07,12.58,9.43,10.73,20.09
9.01,12.63,9.55,10.61,19.91
8.94,12.45,9.52,10.74,19.99
8.92,12.46,9.74,10.66,20.19
9.00,12.38,9.77,10.69,20.16
8.91,12.49,9.70,10.77,20.00
9.01,12.75,9.75,10.80,20.09
9.07,12.70,9.91,10.88,20.13
9.22,12.70,9.77,10.73,20.12
9.20,12.76,9.76,10.72,20.22
9.26,12.63,9.68,10.81,20.04
9.25,12.70,9.50,10.99,20.36
9.21,12.51,9.56,10.93,20.43
9.18,12.47,9.50,11.02,20.58
9.19,12.77,9.41,11.14,20.27
9.11,13.02,9.46,11.03,20.30
9.01,12.90,9.47,11.09,20.46
8.95,12.75,9.52,11.23,20.36
8.86,12.76,9.45,11.19,20.42
8.75,12.84,9.61,11.27,20.53
8.84,12.67,9.65,11.23,20.87
8.81,12.76,9.62,11.25,20.61
8.77,12.79,9.57,11.39,20.33
8.89,12.69,9.63,11.33,20.47
8.78,12.60,9.61,11.43,20.37
8.73,12.71,9.71,11.27,20.50
8.59,12.61,9.85,11.23,20.43
8.75,12.62,9.77,11.20,20.23
8.79,12.62,9.69,10.99,20.22
8.88,12.68,9.64,11.03,20.55
8.90,12.76,9.62,11.19,20.42
8.96,12.73,9.68,11.23,20.43
9.01,12.86,9.77,11.27,20.56
8.88,12.78,9.68,11.47,20.51
8.79,12.76,9.71,11.38,20.49
8.79,12.71,9.79,11.48,20.55
8.80,12.85,9.89,11.64,20.65
8.83,12.89,9.99,11.63,20.34
8.72,12.73,9.84,11.87,20.52
8.69,12.73,9.82,11.69,20.78
8.84,12.89,9.69,11.72,20.74
9.05,12.98,9.51,11.66,20.57
9.08,13.17,9.58,11.68,20.43
9.10,13.41,9.49,11.74,20.39
9.10,13.52,9.52,11.79,20.53
9.05,13.35,9.57,11.79,20.12
9.05,13.67,9.61,11.72,20.15
9.04,13.56,9.45,11.80,20.18
9.03,13.35,9.50,11.72,20.17
9.10,13.50,9.52,11.59,20.15
9.20,13.34,9.50,11.39,20.38
9.25,13.31,9.58,11.18,20.38
9.37,13.34,9.72,11.27,20.30
9.41,13.21,9.53,11.26,20.38
9.42,13.14,9.59,11.33,20.56
9.25,13.17,9.53,11.49,20.21
9.38,12.91,9.45,11.51,20.32
9.29,12.91,9.43,11.49,20.52
9.16,12.80,9.46,11.58,20.57
9.31,12.77,9.59,11.58,20.77
9.35,12.77,9.71,11.57,20.55
9.30,12.88,9.86,11.68,20.54
9.33,12.71,9.86,11.78,20.73
9.22,12.71,9.80,11.90,20.89
9.18,13.09,9.83,11.82,21.12
9.15,13.14,9.82,11.86,20.66
9.26,13.26,9.80,11.60,20.83
9.32,13.08,9.85,11.70,21.14
9.42,13.27,9.71,11.83,21.16
9.56,13.39,9.78,11.91,21.00
9.58,13.52,9.85,11.92,20.87
9.52,13.60,9.84,12.03,20.95
9.28,13.43,9.89,11.80,20.80
9.26,13.45,9.90,11.84,20.91
9.20,13.78,10.09,11.70,21.00
9.27,13.90,10.08,11.49,20.96
9.17,14.00,10.19,11.68,20.98
9.14,13.96,10.18,11.66,21.06
9.19,13.84,10.24,11.66,21.37
9.20,13.86,10.22,11.67,21.22
9.18,13.95,10.28,11.60,20.99
9.12,13.74,10.33,11.56,21.06
9.13,13.93,10.23,11.59,20.92
9.22,14.18,10.05,11.72,20.95
9.32,14.19,10.31,11.88,20.94
9.15,14.20,10.25,11.74,21.55
9.16,14.28,10.11,11.82,21.72
9.04,14.10,9.92,12.08,21.75
9.13,14.05,9.92,12.00,21.58
9.17,13.83,9.96,12.02,21.69
9.10,13.92,9.83,11.88,21.74
9.28,14.03,9.85,12.21,21.87
9.14,14.14,10.02,12.22,21.21
9.14,14.30,9.93,12.18,21.17
9.07,14.42,9.91,12.12,21.03
9.23,14.41,10.05,12.10,21.09
9.09,14.61,9.92,12.37,21.26
8.99,14.63,10.07,12.68,21.43
8.99,14.48,10.06,12.67,21.09
9.11,14.43,9.97,12.78,21.32
9.18,14.43,10.02,12.77,21.30
9.16,14.31,9.84,13.02,21.52
9.07,14.38,9.72,13.11,21.82
9.15,14.38,9.62,13.21,21.71
9.11,14.04,9.55,12.86,21.86
8.91,14.08,9.45,12.89,21.92
8.97,14.16,9.32,12.94,21.87
9.08,14.12,9.48,12.82,21.72
9.14,14.01,9.46,12.61,21.98
9.02,13.96,9.54,12.80,21.98
8.97,13.94,9.42,12.91,22.44
9.09,13.93,9.48,12.77,21.98
9.22,13.69,9.41,12.91,22.21
9.28,13.82,9.55,12.86,22.33
9.37,13.93,9.47,12.77,22.53
9.34,14.04,9.42,12.75,22.49
9.35,14.13,9.53,12.84,22.38
9.11,13.87,9.66,12.78,21.83
9.20,14.11,9.83,12.79,21.71
9.43,14.40,9.62,12.90,22.00
9.42,14.37,9.70,12.90,21.76
9.41,14.32,9.62,12.74,21.81
9.11,14.41,9.67,12.73,21.85
9.10,14.54,9.63,12.73,22.18
8.99,14.75,9.54,12.68,22.02
9.04,14.86,9.56,12.65,22.10
8.85,14.85,9.49,12.56,22.41
8.92,14.93,9.53,12.57,22.52
8.96,15.18,9.55,12.57,22.49
9.04,15.12,9.54,12.40,22.41
8.98,15.03,9.60,12.28,21.98
9.05,14.89,9.57,12.29,22.06
8.99,14.82,9.51,12.44,22.49
8.98,14.73,9.41,12.62,22.68
8.88,14.80,9.52,12.76,22.70
8.97,14.75,9.50,12.51,22.83
9.06,14.92,9.44,12.49,22.67
9.17,14.96,9.39,12.27,22.90
9.16,15.05,9.70,12.32,23.12
9.13,14.98,9.66,12.28,22.94
9.25,15.07,9.74,12.44,22.87
9.23,15.02,9.70,12.40,23.05
9.22,14.94,9.90,12.44,22.90
9.32,14.72,10.07,12.42,22.50
9.23,14.96,9.98,12.48,22.59
9.24,15.29,10.00,12.58,22.61
9.41,15.17,10.06,12.48,22.95
9.49,15.16,9.88,12.31,22.46
9.49,15.49,9.90,12.32,22.65
9.55,15.19,9.85,12.27,22.86
9.53,15.30,9.94,12.24,22.58
9.59,15.36,9.72,12.20,22.32
9.54,15.34,9.68,12.13,22.12
9.56,15.10,9.86,11.99,21.89
9.66,14.96,9.81,11.94,21.39
9.66,14.80,9.77,11.92,21.63
9.90,14.61,9.67,11.96,21.50
9.79,14.59,9.45,11.77,21.50
9.65,14.63,9.41,11.57,21.63
9.73,14.52,9.33,11.90,21.71
9.81,14.48,9.25,12.22,21.88
9.85,14.40,9.31,12.22,21.89
9.82,14.29,9.38,12.39,21.83
9.89,14.28,9.37,12.47,22.15
9.88,14.17,9.27,12.42,22.07
9.91,13.94,9.48,12.33,22.40
9.77,14.17,9.52,12.29,22.29
9.84,14.02,9.48,12.11,22.19
9.76,13.84,9.61,12.09,22.18
9.82,13.94,9.86,12.10,22.31
9.74,13.93,9.80,12.00,22.23
9.79,14.17,9.84,11.95,22.06
9.83,14.21,9.94,11.91,22.07
9.82,14.05,10.09,11.95,22.28
9.77,13.98,10.04,11.75,22.28
9.66,14.23,10.11,11.68,22.47
9.67,14.23,10.10,11.66,22.30
9.65,14.23,10.16,11.57,22.35
9.63,14.30,10.19,11.63,22.31
9.71,14.43,10.26,11.65,22.43
9.83,14.55,10.05,11.64,21.95
9.86,14.70,10.22,11.81,21.75
9.91,14.65,10.13,11.73,21.77
9.94,14.58,10.12,11.58,21.90
9.81,14.83,10.23,11.73,21.83
9.80,14.76,10.18,11.75,21.28
9.81,14.83,10.19,11.71,21.28
9.72,14.80,10.27,11.81,21.40
9.68,14.77,10.40,11.81,21.02
9.65,14.76,10.55,11.88,21.21
9.47,14.56,10.78,11.93,21.32
9.44,14.62,10.86,12.03,21.27
9.41,14.59,11.01,11.89,21.51
9.29,14.63,11.15,11.81,21.34
9.23,14.57,11.14,11.64,21.57
9.28,14.65,11.13,11.70,21.46
9.14,14.63,11.26,11.84,21.20
9.09,14.61,11.20,11.80,20.93
8.93,14.61,10.97,11.63,20.87
8.97,14.55,10.66,11.73,20.75
8.95,14.83,10.53,11.74,20.71
9.03,14.80,10.37,11.63,20.56
9.04,14.84,10.26,11.75,20.47
9.17,14.94,10.40,11.80,20.38
9.21,14.72,10.40,11.93,20.20
9.17,14.56,10.34,11.77,19.98
9.22,14.48,10.48,11.68,19.65
9.19,14.59,10.65,11.70,19.68
9.31,14.46,10.67,11.76,19.59
9.40,14.45,10.76,11.64,19.69
9.24,14.57,10.80,11.73,19.77
9.39,14.76,10.84,11.90,19.88
9.47,14.54,10.90,11.95,20.03
9.53,14.53,10.89,11.88,19.98
9.55,14.52,11.19,12.09,19.77
9.53,14.42,11.05,12.13,20.10
9.64,14.61,11.02,12.17,19.87
9.59,14.50,10.96,12.10,19.64
9.86,14.59,10.84,12.09,19.74
9.88,14.52,10.79,11.92,20.06
9.80,14.60,10.90,12.03,20.25
9.76,14.58,10.86,11.87,20.45
9.80,14.46,10.78,11.86,20.63
9.86,14.16,10.76,11.84,20.54
9.78,14.24,10.70,11.67,20.23
9.76,14.18,10.75,11.65,20.40
9.72,14.12,10.66,11.85,20.45
9.76,14.03,10.93,11.90,20.57
9.84,14.26,10.70,11.90,20.41
9.92,14.10,10.85,11.83,19.99
9.88,14.21,10.94,11.76,20.01
9.98,14.22,10.85,11.67,19.66
10.05,14.03,10.75,11.69,19.91
10.07,13.78,10.69,11.77,19.94
10.10,13.78,10.72,11.75,20.03
10.10,14.02,10.68,11.50,19.93
10.08,14.04,10.59,11.48,19.99
10.05,14.21,10.67,11.55,19.80
9.99,14.08,10.76,11.54,19.65
9.83,14.03,10.68,11.60,19.60
9.91,14.28,10.77,11.62,19.93
10.18,14.28,10.83,11.54,19.64
10.16,14.40,10.99,11.49,19.65
10.02,14.45,11.04,11.36,19.73
9.83,14.43,11.19,11.43,19.56
9.84,14.47,11.35,11.55,19.78
10.03,14.54,11.36,11.71,19.70
10.05,14.17,11.40,11.90,19.77
9.86,14.14,11.42,11.85,19.67
9.78,14.30,11.32,12.06,19.78
9.90,14.39,11.34,11.95,20.23
9.91,14.49,11.40,11.66,20.32
9.98,14.73,11.27,11.67,20.19
9.86,14.73,11.09,11.67,19.99
9.93,14.96,10.98,11.66,19.99
9.77,15.04,10.87,11.71,19.70
9.65,15.07,11.11,11.79,19.49
9.64,14.96,11.07,11.57,19.86
9.56,14.73,11.00,11.42,19.68
9.62,14.85,10.96,11.43,19.68
9.54,14.86,10.94,11.30,19.36
9.50,14.75,10.94,11.30,18.89
9.59,14.74,10.93,11.25,19.09
9.64,14.54,10.98,11.39,19.39
9.66,14.32,11.09,11.35,19.03
9.68,14.51,10.93,11.20,19.27
9.63,14.35,10.91,11.30,18.98
9.57,14.56,10.98,11.26,19.29
9.63,14.62,10.91,11.25,19.30
9.57,14.77,10.95,11.20,19.28
9.59,15.01,10.76,11.23,19.32
9.61,15.02,10.69,11.33,19.43
9.80,15.06,10.94,11.35,19.60
9.54,15.11,10.87,11.40,19.69
9.47,15.11,10.77,11.58,19.78
9.57,14.87,10.59,11.64,19.72
9.52,14.88,10.58,11.56,19.63
9.67,14.80,10.42,11.37,19.40
9.58,14.86,10.34,11.27,19.40
9.46,15.02,10.48,11.20,19.62
9.43,14.88,10.48,11.28,19.33
9.41,14.80,10.65,11.18,19.40
9.49,14.87,10.75,11.06,19.51
9.45,14.93,10.77,10.92,19.64
9.24,15.02,10.77,10.81,19.99
9.23,14.86,10.72,10.81,19.94
9.30,14.79,10.67,10.82,19.93
9.40,14.71,10.68,10.81,19.87
9.40,14.80,10.73,10.85,19.87
9.44,14.97,10.85,10.76,19.62
9.32,14.73,10.92,10.83,19.48
9.34,14.70,10.88,10.71,19.25
9.29,14.88,10.98,10.70,19.45
9.27,14.71,11.02,10.74,19.75
9.28,14.93,10.93,10.71,19.97
9.28,15.11,11.08,10.89,19.93
9.14,14.98,10.94,11.05,19.88
9.01,14.92,10.93,10.94,19.81
8.92,14.71,10.93,11.00,19.54
9.02,14.84,10.93,10.95,19.40
8.99,14.84,10.80,10.99,19.43
9.06,14.73,10.65,11.12,19.21
9.18,14.61,10.84,11.10,19.33
9.16,14.75,10.71,11.13,19.15
9.21,14.73,10.77,11.01,19.12
9.20,14.98,10.73,11.02,19.18
9.26,15.00,10.74,11.02,19.25
9.09,15.02,10.63,10.99,19.34
9.17,14.87,10.59,10.94,19.27
9.07,14.80,10.55,10.64,19.17
9.08,14.78,10.64,10.70,19.18
9.03,14.56,10.58,10.70,19.00
8.94,14.82,10.35,10.59,18.91
8.78,14.92,10.27,10.43,19.02
8.85,15.02,10.38,10.60,19.17
8.79,14.82,10.45,10.64,19.16
8.82,14.75,10.54,10.63,19.33
8.77,14.99,10.43,10.50,19.23
8.73,14.80,10.40,10.44,19.22
8.81,14.84,10.42,10.38,19.56
8.83,14.59,10.43,10.31,19.52
8.79,14.61,10.49,10.29,19.87
8.79,14.71,10.42,10.30,19.62
8.79,14.75,10.50,10.26,19.80
8.91,14.79,10.46,10.27,19.81
8.77,14.53,10.39,10.23,19.78
8.77,14.59,10.49,10.12,19.89
8.83,14.94,10.69,10.02,19.88
8.74,15.07,10.65,10.03,19.82
8.79,15.19,10.67,9.96,19.69
8.99,14.99,10.52,10.11,19.86
9.03,14.77,10.58,10.03,19.93
8.97,14.60,10.64,10.05,19.66
9.00,14.49,10.51,10.21,20.04
8.88,14.48,10.50,10.18,19.96
9.01,14.47,10.45,10.08,19.86
9.00,14.44,10.56,10.18,19.77
9.06,14.30,10.62,10.05,19.56
9.02,14.34,10.73,10.14,19.31
9.16,14.32,10.81,10.18,19.42
9.12,14.40,10.74,10.22,19.69
9.11,14.63,10.79,10.17,19.79
9.02,14.70,10.86,10.25,19.68
9.11,14.53,10.88,10.06,19.49
9.04,14.52,10.83,10.23,19.62
8.95,14.70,10.61,10.07,19.55
9.00,14.89,10.81,10.21,19.69
8.96,14.86,10.80,10.25,19.99
8.95,15.12,10.79,10.46,19.64
9.16,15.07,10.74,10.55,19.53
9.16,15.03,10.75,10.53,19.35
9.21,15.08,10.87,10.57,19.66
9.10,14.91,10.94,10.67,19.54
9.14,14.95,10.77,10.65,19.57
9.24,15.25,10.68,10.71,19.80
9.14,15.15,10.68,10.61,19.69
8.99,14.92,10.84,10.57,19.89
8.83,14.90,10.78,10.58,20.00
8.88,14.92,10.86,10.65,20.07
8.74,14.89,10.76,10.73,19.82
8.86,15.00,10.85,10.79,19.77
8.91,15.02,10.87,10.61,19.79
9.01,15.14,10.96,10.53,19.89
8.83,15.02,10.93,10.47,19.91
8.88,14.94,10.89,10.54,19.85
8.76,14.75,10.87,10.58,19.78
8.79,14.80,10.92,10.67,19.86
8.70,14.92,10.80,10.56,20.04
8.63,14.82,11.02,10.41,19.96
8.57,14.76,11.00,10.56,19.92
8.64,14.88,11.15,10.45,20.15
8.68,14.73,11.12,10.33,20.12
8.72,15.04,11.30,10.32,19.94
8.66,14.94,11.29,10.49,20.03
8.54,14.91,11.31,10.57,20.20
8.42,15.28,11.38,10.68,20.14
8.57,15.36,11.24,10.72,20.15
8.53,15.03,11.23,10.69,20.25
8.48,14.99,11.00,10.76,20.24
8.48,14.84,11.05,10.78,20.64
8.49,14.76,11.23,10.97,20.63
8.56,14.75,11.40,10.78,20.87
8.47,14.82,11.22,10.79,21.19
8.44,14.66,11.15,10.77,21.34
8.44,14.62,11.10,10.79,21.40
8.47,14.47,11.12,10.65,21.49
8.63,14.65,11.07,10.67,21.68
8.74,14.59,11.04,10.78,21.66
8.69,14.49,11.24,10.86,21.70
8.70,14.50,11.12,10.83,21.72
8.72,14.73,10.93,10.83,21.91
8.64,14.56,10.83,10.80,21.92
8.70,14.78,10.57,10.75,21.63
8.80,14.75,10.54,10.86,22.05
8.81,15.01,10.57,10.80,21.89
8.69,14.98,10.49,10.82,21.86
8.57,15.12,10.55,10.90,21.74
8.54,15.19,10.55,10.79,21.49
8.65,15.03,10.50,10.99,21.34
8.56,15.15,10.38,10.99,21.48
8.51,15.15,10.22,10.93,21.82
8.50,15.13,10.17,10.95,21.83
8.38,15.18,10.17,10.88,21.80
8.26,15.07,10.05,10.98,21.96
8.25,15.20,10.00,11.06,22.20
8.14,15.04,9.99,11.05,22.05
8.15,14.99,9.85,11.03,21.81
8.16,14.91,9.76,11.20,21.72
8.17,14.86,9.76,11.14,21.78
8.31,14.90,9.90,10.90,21.76
8.32,15.14,9.95,10.61,21.59
8.29,14.96,9.83,10.67,21.59
8.40,14.85,9.75,10.84,21.54
8.35,14.72,9.71,10.90,21.01
8.43,14.91,9.63,10.95,20.94
8.57,14.72,9.67,10.99,20.61
8.40,14.51,9.60,10.93,20.74
8.32,14.37,9.56,11.08,20.76
8.35,14.41,9.60,11.10,20.50
8.51,14.36,9.75,11.16,20.52
8.52,14.40,9.92,11.27,20.47
8.72,14.32,10.05,11.36,20.25
8.82,14.26,10.12,11.23,20.44
8.76,14.32,10.17,11.17,20.23
8.86,14.46,10.14,11.22,20.43
8.88,14.73,10.18,11.06,20.08
8.81,15.01,10.04,10.95,20.21
8.88,15.14,10.01,10.83,20.29
8.67,15.05,9.87,10.77,20.43
8.73,14.97,9.85,10.90,20.34
8.67,14.82,9.86,11.19,20.23
8.89,14.86,9.94,11.07,20.19
8.88,14.86,9.75,11.22,20.28
8.85,14.72,9.67,11.21,20.24
8.85,14.76,9.64,11.31,20.30
8.84,14.72,9.66,11.31,20.49
8.71,14.82,9.69,11.44,20.62
8.75,15.07,9.68,11.50,20.80
8.89,15.08,9.50,11.60,20.77
8.84,15.08,9.42,11.64,20.65
8.83,14.90,9.57,11.69,20.84
8.74,14.73,9.65,11.65,21.14
8.70,14.78,9.58,11.68,21.37
8.54,14.68,9.55,11.72,21.38
8.57,14.68,9.59,11.75,21.53
8.67,14.68,9.63,11.78,21.37
8.69,14.89,9.57,11.56,21.60
8.59,14.72,9.64,11.74,21.22
8.61,14.72,9.80,11.83,21.13
8.59,14.79,9.97,11.83,21.04
8.45,14.72,9.86,11.93,21.14
8.62,14.77,9.83,12.04,21.19
8.60,14.84,9.92,12.18,21.26
8.66,14.76,10.09,12.13,21.04
8.64,14.99,10.08,12.12,21.17
8.57,14.68,10.15,11.97,20.73
8.53,14.67,10.04,12.05,20.79
8.62,14.52,10.08,12.00,20.78
8.64,14.62,10.07,11.96,20.43
8.65,14.67,9.91,11.93,20.21
8.73,14.76,9.94,11.94,20.41
8.90,14.69,10.03,12.04,20.55
8.85,14.70,9.98,11.84,20.63
8.76,14.73,9.89,11.77,20.75
8.71,14.64,10.13,11.62,20.52
8.75,14.63,10.09,11.51,20.79
8.71,14.86,10.04,11.44,20.68
8.76,14.70,10.08,11.46,20.68
8.66,14.80,10.04,11.29,21.19
8.54,14.81,10.14,11.18,21.11
8.58,14.66,10.12,11.26,20.79
8.65,14.57,10.00,11.26,20.56
8.68,14.60,9.98,11.16,20.46
8.67,14.69,9.98,11.28,20.68
8.75,14.65,10.15,11.19,20.87
8.59,14.67,10.09,11.26,20.87
8.49,14.50,10.00,11.41,20.80
8.60,14.73,9.95,11.55,20.81
8.53,14.75,9.98,11.61,21.29
8.46,14.85,9.86,11.58,21.08
8.44,14.70,9.95,11.66,21.02
8.41,15.03,9.99,11.68,20.86
8.47,15.13,10.21,11.53,20.62
8.58,15.13,10.37,11.57,20.24
8.43,15.24,10.34,11.70,20.29
8.32,15.21,10.32,11.71,20.13
8.34,15.29,10.48,11.87,20.17
8.25,15.26,10.35,11.45,19.92
8.33,15.29,10.64,11.32,20.02
8.36,15.42,10.70,11.40,20.42
8.19,15.58,10.61,11.41,20.21
8.16,15.47,10.53,11.54,20.11
8.09,15.54,10.42,11.58,20.09
8.03,15.57,10.46,11.53,19.89
8.18,15.54,10.50,11.33,20.37
8.36,15.59,10.59,11.34,20.59
8.31,15.31,10.57,11.44,20.61
8.42,15.29,10.56,11.59,20.38
8.38,15.23,10.52,11.80,20.27
8.38,15.41,10.41,11.86,20.28
8.59,15.61,10.34,11.80,20.31
8.62,15.62,10.32,11.69,20.20
8.70,15.51,10.42,11.69,20.28
8.72,15.39,10.48,11.76,20.38
8.72,15.43,10.32,11.60,20.83
8.75,15.14,10.34,11.45,20.85
8.70,15.08,10.40,11.37,20.77
8.67,15.19,10.19,11.45,20.89
8.65,15.17,10.10,11.43,21.05
8.74,15.16,10.21,11.40,21.03
8.84,15.24,10.03,11.54,20.70
8.89,15.33,10.18,11.62,20.62
8.92,15.23,10.05,11.83,20.75
8.92,15.06,10.08,11.73,20.98
8.98,15.04,10.25,11.88,20.71
8.94,14.89,10.21,11.83,20.70
9.10,15.11,10.24,11.90,20.59
9.02,15.28,10.14,12.11,20.58
8.81,15.39,10.11,12.17,20.70
9.04,15.43,10.09,12.12,20.48
9.03,15.49,10.18,11.91,20.39
9.05,15.35,10.22,11.91,20.29
8.96,15.50,10.16,11.75,20.36
8.96,15.64,10.19,11.77,20.01
9.01,15.60,10.24,11.77,20.04
9.10,15.82,10.43,11.74,20.01
9.24,15.87,10.40,11.56,20.22
9.12,15.86,10.57,11.49,19.94
9.29,15.78,10.61,11.43,19.89
9.10,15.63,10.55,11.58,20.31
8.97,15.26,10.67,11.60,20.24
9.03,15.02,10.59,11.60,20.35
8.97,15.19,10.47,11.35,20.68
9.01,15.29,10.46,11.42,20.50
9.01,15.53,10.47,11.54,20.41
9.04,15.31,10.44,11.37,20.77
9.01,15.41,10.47,11.36,20.86
9.07,15.52,10.49,11.31,21.24
9.07,15.62,10.61,11.36,21.07
9.19,15.69,10.63,11.22,21.33
9.27,15.81,10.54,11.18,21.26
9.23,15.67,10.62,10.99,21.56
9.24,15.57,10.58,10.84,21.76
9.17,15.59,10.52,10.81,21.63
9.00,15.19,10.33,10.88,21.59
8.89,15.38,10.27,10.78,21.76
8.93,15.53,10.32,10.76,21.89
8.85,15.50,10.53,10.87,21.95
8.80,15.56,10.63,10.84,22.09
8.69,15.75,10.77,10.89,22.08
8.75,15.65,10.85,10.82,22.02
8.72,15.71,10.76,10.76,22.26
8.74,15.63,10.58,10.72,22.26
8.76,15.56,10.66,10.79,22.43
8.75,15.76,10.59,10.74,22.33
8.57,15.80,10.62,10.72,22.45
8.57,15.84,10.56,10.53,22.26
8.74,15.99,10.64,10.71,22.38
8.61,15.98,10.70,10.71,22.32
8.74,15.89,10.57,10.82,22.22
8.66,15.93,10.71,10.69,22.26
8.60,15.81,10.90,10.85,22.29
8.64,15.91,10.82,10.72,22.40
8.68,16.18,10.70,10.96,22.58
8.85,16.07,10.64,11.02,22.87
8.79,16.45,10.62,11.14,23.35
8.74,16.24,10.82,11.18,23.45
8.52,16.22,10.63,11.28,23.46
8.56,16.34,10.50,11.35,23.57
8.62,16.26,10.48,11.41,23.93
8.76,16.45,10.53,11.50,24.12
8.63,16.60,10.64,11.56,24.19
8.67,16.37,10.64,11.57,24.30
8.76,16.32,10.62,11.63,24.09
8.82,16.07,10.55,11.64,24.03
8.96,16.09,10.52,11.83,23.87
8.99,16.02,10.52,11.79,23.64
9.02,15.80,10.45,11.78,23.82
9.15,15.69,10.35,11.78,23.85
9.22,15.86,10.36,11.73,24.04
9.27,15.87,10.31,11.55,24.50
9.39,15.57,10.16,11.69,24.86
9.35,15.29,10.18,11.71,24.80
9.47,14.94,10.22,11.81,24.92
9.37,14.82,10.22,11.79,24.88
9.44,14.65,10.29,11.81,24.47
9.64,14.74,10.21,11.67,24.43
9.56,14.95,10.16,11.76,24.20
9.54,14.93,10.13,11.83,24.05
9.70,14.88,10.12,11.90,23.92
9.69,14.91,10.11,11.94,23.61
9.90,14.76,10.12,12.10,23.75
9.88,14.94,10.17,12.06,23.58
9.87,14.74,9.98,12.25,23.43
9.74,14.76,9.82,12.16,23.33
9.62,14.82,9.78,12.26,23.45
9.52,14.93,9.82,12.24,23.60
9.49,15.16,9.82,11.87,23.61
9.38,15.36,9.81,11.77,23.47
9.37,15.34,9.93,11.76,23.75
9.37,15.37,9.87,11.74,24.07
9.30,15.34,9.79,11.61,24.90
9.13,15.23,9.83,11.52,25.01
9.14,15.16,9.72,11.54,25.08
9.07,15.12,9.59,11.58,25.63
9.32,15.28,9.61,11.55,25.49
9.31,15.25,9.66,11.50,24.96
9.34,15.16,9.72,11.52,24.62
9.32,15.10,9.76,11.45,24.40
9.47,14.91,9.89,11.20,24.69
9.40,14.66,9.93,11.24,24.29
9.30,14.67,9.91,11.21,24.57
9.37,14.70,9.88,11.32,24.71
9.45,14.56,9.91,11.18,24.25
9.42,14.41,9.91,11.12,24.21
9.18,14.06,9.83,11.29,24.49
9.12,14.03,9.74,11.46,24.78
9.13,13.93,9.68,11.39,24.60
9.13,14.03,9.51,11.20,24.82
9.18,14.19,9.45,11.33,24.67
9.19,14.28,9.60,11.34,24.07
9.04,14.33,9.44,11.45,24.10
